Player Name,Base Price (in Lakhs Rupees),Price Paid (in Lakhs Rupees),Status,Bought by,Previous IPL Teams,Country,Role,Batting Style,Bowling Style,Batting Order,Capped or Uncapped at Internationals (during Auction)
Adam Milne,50,320,Sold,MI,RCB,New Zealand,Seam Bowler,,Right Fast,,Capped
Akash Singh,20,20,Sold,RR,,India,Seam Bowler,,Left Medium Fast,,Uncapped
Arjun Tendulkar,20,20,Sold,MI,,India,Seam Bowler,,Left Medium Fast,,Uncapped
Ben Cutting,75,75,Sold,KKR,"RR, SRH, MI",Australia,All Rounder,Right ,Right Fast Medium,Middle ,Capped
Bhagath Varma,20,20,Sold,CSK,,India,Bowling All Rounder,Right ,Right Offbreak,Lower ,Uncapped
C Hari Nishanth,20,20,Sold,CSK,,India,Batsman,Left,,Top ,Uncapped
Chetan Sakariya,20,120,Sold,RR,,India,Seam Bowler,,Left Medium Fast,,Uncapped
Cheteshwar Pujara,50,50,Sold,CSK,"RCB, KKR, PBKS",India,Batsman,Right ,,Top,Capped
Chris Morris,75,1625,Sold,RR,"CSK, RR, DC, RCB",South Africa,Bowling All Rounder,Right ,Right Fast Medium,Middle,Capped
Dan Christian,75,480,Sold,RCB,"RCB, RPS, DC, SRH",Australia,All Rounder,Right ,Right Fast Medium,Middle ,Capped
Dawid Malan,150,150,Sold,PBKS,,England,Batsman,Left,,Top ,Capped
Fabian Allen,75,75,Sold,PBKS,SRH,West Indies,Bowling All Rounder,Right ,Slow Left Orthodox,Middle ,Capped
Glenn Maxwell,200,1425,Sold,RCB,"PBKS, MI, DC",Australia,Batting All Rounder,Right ,Right Offbreak,Middle ,Capped
Harbhajan Singh,200,200,Sold,KKR,"CSK, MI",India,Spin Bowler,,Right Offbreak,,Capped
Harishankar Reddy,20,20,Sold,CSK,,India,Seam Bowler,,Right Medium,,Uncapped
Jagadeesha Suchith,20,30,Sold,SRH,"MI, DC, PBKS",India,Spin Bowler,,Slow Left Orthodox,,Uncapped
Jalaj Saxena,30,30,Sold,PBKS,"MI, DC, RCB",India,Batting All Rounder,Right ,Right Offbreak,Top ,Uncapped
James Neesham,50,50,Sold,MI,"DC, PBKS, KKR",New Zealand,Batting All Rounder,Left,Right Medium,Middle,Capped
Jhye Richardson,150,1400,Sold,PBKS,,Australia,Seam Bowler,,Right Fast,,Capped
Karun Nair,50,50,Sold,KKR,"RCB, DC, PBKS, RR",India,Batsman,Right ,,Middle,Capped
Kedar Jadhav,200,200,Sold,SRH,"DC, CSK, RCB, KTK",India,Batting All Rounder,Right ,Right Offbreak,Middle,Capped
Kishan Cariappa,20,20,Sold,RR,"KKR, PBKS",India,Spin Bowler,,Right Legbreak,,Uncapped
Krishnappa Gowtham,20,925,Sold,CSK,"MI, RR, PBKS",India,Bowling All Rounder,Right ,Right Offbreak,Lower ,Uncapped
Kuldip Yadav,20,20,Sold,RR,,India,Seam Bowler,,Left Medium Fast,,Uncapped
Kyle Jamieson,75,1500,Sold,RCB,,New Zealand,Seam Bowler,,Right Fast Medium,,Capped
Liam Livingstone,75,75,Sold,RR,RR,England,Batting All Rounder,Right ,"Right Legbreak, Right Offbreak",Top,Capped
Lukman Meriwala,20,20,Sold,DC,,India,Seam Bowler,,Left Fast Medium,,Uncapped
Manimaran Siddharth,20,20,Sold ,DC,,India,Spin Bowler,,Slow Left Orthodox,,Uncapped
Marco Jansen,20,20,Sold,MI,,South Africa,Bowling All Rounder,Right ,Left Fast,Lower ,Uncapped
Moeen Ali,200,700,Sold,CSK,RCB,England,Batting All Rounder,Left,Right Offbreak,Top,Capped
Mohammed Azharuddeen,20,20,Sold,RCB,,India,Wicket Keeper Batsman,Right ,,Top,Uncapped
Moises Henriques,100,420,Sold,PBKS,"KKR, DC, RCB, SRH, MI",Australia,All Rounder,Right ,Right Fast Medium,Middle,Capped
